size,lambda,activity_mean,chi_times_N2
250.0,0.85,0.8474392546800047,5.494411190289452
250.0,0.851,0.8457612857999991,5.864422457571313
250.0,0.852,0.8441624573466626,5.697683561769625
250.0,0.853,0.8414642361200029,6.013827463839285
250.0,0.854,0.8293962268533284,6.751748255225
250.0,0.855,0.8106325225200023,10.252990760174999
250.0,0.856,0.7952113740266622,9.222241740462499
250.0,0.857,0.7828592312399968,8.562340114187501
250.0,0.858,0.7746165523333364,11.0267679936875
250.0,0.859,0.7672452935199986,13.13431104905625
250.0,0.86,0.7449472940933337,12.50143722316875
250.0,0.861,0.7085986909066687,14.2308940277
250.0,0.862,0.6631975087333323,17.97096208735
250.0,0.863,0.6226653145466639,23.41089758439375
250.0,0.864,0.6169517488000014,24.5780205515875
250.0,0.865,0.592111321533334,34.100228861537495
250.0,0.866,0.533007995559999,47.9780574996875
250.0,0.867,0.4289833407333333,44.5314980155875
250.0,0.868,0.4095976548799989,75.29820108834376
250.0,0.869,0.4087160392266674,65.771180144975
250.0,0.87,0.3643175452133342,57.0641435865125
250.0,0.871,0.2302256008800004,102.58476601460625
250.0,0.872,0.1621375294266685,122.02734063895625
250.0,0.873,0.2319180648400003,77.99437521039374
250.0,0.874,0.2280075029999993,88.28692880159376
250.0,0.875,0.0038720000000009,-7.78582825159649e-13
250.0,0.876,0.0054719999999983,1.1192995516778198e-12
250.0,0.877,0.0050240000000016,-7.45621431046384e-13
250.0,0.878,0.0048319999999979,1.6822454669280564e-12
250.0,0.879,0.0047040000000001,3.9345495709939487e-13
250.0,0.88,0.0035519999999994,1.7348102164876317e-16
250.0,0.881,0.0049920000000011,-2.283010244897723e-13
250.0,0.882,0.004959999999998,1.4830892540752762e-12
250.0,0.883,0.0046399999999988,8.035640922770709e-13
250.0,0.884,0.0041279999999995,4.2520198406111846e-13
250.0,0.885,0.0044479999999977,9.75657265752644e-13
250.0,0.886,0.0040479999999985,1.0951856896686416e-12
250.0,0.887,0.0037439999999987,5.490674335183354e-13
250.0,0.888,0.0054080000000017,-1.2660644959926736e-12
250.0,0.889,0.0054080000000017,-1.2660644959926736e-12
250.0,0.89,0.0054328874666656,0.00010114338846680238
250.0,0.891,0.0047679999999988,1.2542677865205575e-13
250.0,0.892,0.0044479999999977,9.75657265752644e-13
250.0,0.893,0.0048160000000014,-1.8441032601263525e-13
250.0,0.894,0.0040800000000008,-9.256947315178e-13
250.0,0.895,0.0044479999999977,9.75657265752644e-13
