size,lambda,S3_mean,S4_mean,S5_mean
400,0.85,1662.717283,1449.617383,1293.837163
400,0.8501,1684.934066,1464.052947,1310.517483
400,0.8502,1765.462537,1516.691309,1353.545455
400,0.8503,1635.123876,1433.24975,1290.679321
400,0.8504,1747.674326,1524.203796,1354.532468
400,0.8505,1681.23976,1449.904096,1293.758242
400,0.8506,1822.134865,1568.587413,1397.273726
400,0.8507,1863.743257,1628.254745,1454.796204
400,0.8508,1783.297702,1554.696304,1384.921079
400,0.8509,1734.157842,1503.30969,1339.671329
400,0.851,1770.742258,1549.624376,1391.797203
400,0.8511,1822.616384,1577.873127,1403.643357
400,0.8512,1841.215784,1577.714286,1403.262737
400,0.8513,1819.911089,1597.869131,1416.661339
400,0.8514,1784.393606,1531.753247,1365.73027
400,0.8515,1886.015984,1619.072927,1437.891109
400,0.8516,1777.573427,1553.88012,1392.465534
400,0.8517,1819.538462,1572.811189,1414.957043
400,0.8518,1876.524476,1631.256743,1450.513487
400,0.8519,1767.475524,1541.366633,1369.243756
400,0.852,1851.752248,1591.096903,1425.403596
400,0.8521,1865.748252,1620.112887,1443.952048
400,0.8522,1743.428571,1507.430569,1340.932068
400,0.8523,1852.332667,1608.190809,1413.204795
400,0.8524,1773.738262,1542.543457,1382.814186
400,0.8525,1722.081918,1492.344655,1325.482517
400,0.8526,1941.695305,1666.923077,1480.375624
400,0.8527,1901.569431,1649.53047,1466.965035
400,0.8528,1868.404595,1599.371628,1412.649351
400,0.8529,1883.825175,1645.108891,1474.144855
400,0.853,1899.05994,1627.542458,1452.691309
400,0.8531,1954.755245,1675.33966,1481.587413
400,0.8532,1880.768232,1636.027972,1448.395604
400,0.8533,1928.752248,1655.02997,1482.323676
400,0.8534,2126.494505,1820.058941,1603.464535
400,0.8535,1892.043956,1624.96004,1434.492507
400,0.8536,1941.104895,1704.222777,1503.277722
400,0.8537,2058.127872,1766.143856,1561.772228
400,0.8538,2088.654346,1790.074925,1583.927073
400,0.8539,1965.695305,1726.26973,1537.746254
400,0.854,2220.366633,1893.522478,1660.716284
400,0.8541,2236.004995,1924.281718,1684.397602
400,0.8542,2184.502498,1885.187812,1659.255744
400,0.8543,2381.25974,2016.202797,1767.105894
400,0.8544,2271.390609,1952.759241,1716.188811
400,0.8545,2465.111888,2114.837163,1850.323676
400,0.8546,2560.460539,2193.936064,1927.998002
400,0.8547,2606.62038,2192.846154,1899.828172
400,0.8548,2964.03996,2446.475524,2107.693307
400,0.8549,2816.792208,2350.07992,2023.581419
400,0.855,2764.615385,2315.629371,2005.774226
400,0.8551,2812.895105,2315.363636,2013.016983
400,0.8552,2790.833167,2347.316683,2051.563437
400,0.8553,2953.440559,2417.502498,2085.383616
400,0.8554,3285.353646,2654.566434,2258.230769
400,0.8555,3150.545455,2615.764236,2222.047952
400,0.8556,3416.752248,2759.422577,2335.765235
400,0.8557,3569.332667,2911.323676,2452.163836
400,0.8558,3582.691309,2946.746254,2479.566434
400,0.8559,3648.546454,2871.669331,2353.825175
400,0.856,3559.682318,2917.706294,2429.201798
400,0.8561,3704.082917,3009.047952,2558.200799
400,0.8562,3733.065934,2959.246753,2472.503497
400,0.8563,3842.050949,3062.974026,2541.061938
400,0.8564,3865.266733,3038.524476,2518.629371
400,0.8565,4307.128871,3364.973027,2690.187812
400,0.8566,3932.818182,3221.88012,2712.703297
400,0.8567,4184.065934,3266.394605,2666.472527
400,0.8568,4424.238761,3458.727273,2783.914086
400,0.8569,4214.5005,3250.586414,2662.537463
400,0.857,4333.314685,3379.273726,2752.200799
400,0.8571,4447.596404,3384.746254,2786.793207
400,0.8572,4356.814186,3328.356643,2672.965035
400,0.8573,4198.324675,3318.156843,2684.07992
400,0.8574,4632.557443,3601.929071,2866.646354
400,0.8575,4351.869131,3419.698302,2802.018981
400,0.8576,4735.674326,3580.776224,2808.694306
400,0.8577,4412.869131,3410.251748,2802.604396
400,0.8578,4622.312687,3516.587413,2826.841159
400,0.8579,4792.448551,3681.124875,2872.071928
400,0.858,4949.125874,3781.605395,2958.985015
400,0.8581,4679.627373,3398.935065,2682.79021
400,0.8582,4566.456543,3382.01998,2648.466533
400,0.8583,4910.346653,3701.233766,2947.55045
400,0.8584,4636.142857,3482.195804,2791.775225
400,0.8585,4585.785215,3524.07992,2832.626374
400,0.8586,4690.712288,3499.312687,2772.612388
400,0.8587,4950.621379,3666.012987,2885.392607
400,0.8588,4781.06993,3523.271728,2811.912088
400,0.8589,4825.58042,3633.190809,2901.71029
400,0.859,4975.348651,3659.617383,2887.235764
400,0.8591,4783.895105,3533.166833,2783.809191
400,0.8592,4933.281718,3659.512488,2925.311688
400,0.8593,5138.216783,3743.813187,2868.077922
400,0.8594,5164.196803,3756.721279,2817.148851
400,0.8595,5204.264735,3674.518482,2811.288711
400,0.8596,4905.366633,3483.9001,2689.162837
400,0.8597,4994.726274,3474.31968,2606.212787
400,0.8598,5044.0999,3386.64036,2510.271728
400,0.8599,5006.375624,3396.000999,2433.004995
400,0.86,5542.484515,3812.491508,2730.535465
400,0.8601,5030.75025,3327.217782,2425.292707
