lambda,size,i,mean_cluster_size,std_cluster_size
0.860545,200,1,12845.662,3537.099011265808
0.860545,200,2,1679.5168,1501.1898911285948
0.860545,200,3,745.3775,682.9818751752728
0.860545,200,4,436.7232,396.3515165029944
0.860545,200,5,289.3047,251.21644259087185
0.860545,250,1,19326.178,5467.085237108984
0.860545,250,2,2639.2701,2291.50505835995
0.860545,250,3,1186.6078,1027.6886033063208
0.860545,250,4,716.0408,601.7100850393018
0.860545,250,5,488.6674,393.27163873768416
0.860545,300,1,26805.4405,7434.401998867685
0.860545,300,2,4041.9589,3309.38958972141
0.860545,300,3,1822.7398,1527.9819271093877
0.860545,300,4,1083.3441,899.3407154507332
0.860545,300,5,730.6157,575.5414092877163
0.860545,350,1,34325.826,10372.70366992456
0.860545,350,2,5682.1852,4455.382132218893
0.860545,350,3,2612.8062,2097.659577865775
0.860545,350,4,1601.904,1247.577600620882
0.860545,350,5,1107.8278,808.4471328564549
0.860545,400,1,44762.9793,12755.1918698009
0.860545,400,2,7219.8777,5656.532184543653
0.860545,400,3,3327.8757,2579.9813402854547
0.860545,400,4,2041.2682,1531.654306741667
0.860545,400,5,1418.3125,1003.5668562120007
0.860545,450,1,55093.5984,16495.496757171157
0.860545,450,2,9375.2516,7209.480299058711
0.860545,450,3,4382.7277,3431.65585214215
0.860545,450,4,2669.9409,2039.5976455817888
0.860545,450,5,1830.9852,1294.1852625224617
0.860545,500,1,64390.6113,19661.397074178207
0.860545,500,2,11823.6096,8618.672916828471
0.860545,500,3,5608.0172,4121.484933602203
0.860545,500,4,3457.5663,2403.5654259204134
0.860545,500,5,2430.9537,1600.409553467547
0.860545,550,1,76434.8302,24468.91077636325
0.860545,550,2,14208.0999,10204.520525043528
0.860545,550,3,6891.6926,4957.248545515894
0.860545,550,4,4315.3926,3025.1714766127775
0.860545,550,5,3029.052,2047.086469008371
0.860545,600,1,83884.2596,28497.19570414443
0.860545,600,2,18018.7374,11741.84916472793
0.860545,600,3,8994.5086,6068.3999419873135
0.860545,600,4,5651.5451,3742.825387264806
0.860545,600,5,3971.4989,2507.4911304281236
0.860545,650,1,96787.4839,33260.859608316336
0.860545,650,2,20675.2837,13508.795270481389
0.860545,650,3,10321.1385,6826.107798803492
0.860545,650,4,6522.1158,4229.809966088936
0.860545,650,5,4631.6347,2880.867710383867
0.860545,700,1,106866.3452,38570.82603402126
0.860545,700,2,24755.9548,15205.856566084916
0.860545,700,3,12525.4692,7920.046615222041
0.860545,700,4,8038.1764,5106.631757672947
0.860545,700,5,5704.7259,3529.59365957462
0.860545,750,1,120637.2402,43926.21697403577
