lambda,size,i,mean_cluster_size,std_cluster_size
0.855,200,1,3480.033,1634.2702760695747
0.855,200,2,1757.2345,620.6825241533138
0.855,200,3,1186.77,375.706469514598
0.855,200,4,885.043,265.8422625578112
0.855,200,5,694.9267,206.88877065576165
0.855,250,1,4312.7089,2002.607604670126
0.855,250,2,2410.5851,824.2982264414995
0.855,250,3,1717.7694,508.6069597710916
0.855,250,4,1328.2046,364.88634003337864
0.855,250,5,1069.3483,274.53596301142153
0.855,300,1,4721.0738,2109.482970444137
0.855,300,2,2846.7694,873.8055406301359
0.855,300,3,2134.0624,560.3388214872557
0.855,300,4,1721.7695,418.30451663425
0.855,300,5,1429.4608,332.79165207638397
0.855,350,1,5061.611,2189.785918923599
0.855,350,2,3246.4922,1010.5604989268872
0.855,350,3,2501.0788,649.3944798884659
0.855,350,4,2056.1139,478.45977417369176
0.855,350,5,1747.7366,373.10315680385446
0.855,400,1,5674.2764,2245.3222220409966
0.855,400,2,3757.851,1094.1007807559797
0.855,400,3,2943.068,716.5442260871225
0.855,400,4,2449.7799,532.9092465725267
0.855,400,5,2109.1959,424.13079045965515
0.855,450,1,5991.74,2272.9859265517307
0.855,450,2,4125.0926,1146.3842819567235
0.855,450,3,3294.9944,788.6220471442352
0.855,450,4,2775.7405,598.9197983471873
0.855,450,5,2416.5702,491.36279978449824
0.855,500,1,6435.2633,2508.2248169863806
0.855,500,2,4505.1626,1290.933017304444
0.855,500,3,3642.4434,895.0697601773834
0.855,500,4,3097.0817,673.4141347527525
0.855,500,5,2713.2526,540.5743634852528
0.855,550,1,6773.8636,2499.872929982971
0.855,550,2,4819.8403,1285.619651912979
0.855,550,3,3939.2022,898.56687483905
0.855,550,4,3391.1931,690.2390813416256
0.855,550,5,3000.6815,569.4368297608249
0.855,600,1,7050.8252,2416.650409216235
0.855,600,2,5077.2909,1258.3361317466956
0.855,600,3,4189.8862,897.1113428809788
0.855,600,4,3638.1007,689.562871139996
0.855,600,5,3243.0397,554.8216558777186
0.855,650,1,7263.157,2504.870098782006
0.855,650,2,5286.9924,1337.9992164917644
0.855,650,3,4395.2414,959.3410086320324
0.855,650,4,3828.8269,729.393341895242
0.855,650,5,3432.5282,606.4385371780871
0.855,700,1,7577.0337,2507.06352586379
0.855,700,2,5585.5019,1320.8080656140055
0.855,700,3,4678.8873,935.517009041594
0.855,700,4,4106.6464,724.111138749548
0.855,700,5,3702.2933,610.6483701921358
0.855,750,1,7973.828,2547.2318999751924
0.855,750,2,5954.4489,1378.601621510678
0.855,750,3,5013.2111,1006.412371904788
0.855,750,4,4408.2997,801.3638272833871
0.855,750,5,3966.7981,665.2857732226012
0.855,800,1,7992.57,2502.00416769947
0.855,800,2,6015.2296,1419.2572508175667
