L,lambda,R_any_mean,R_x_mean,R_y_mean
100,0.861,0.6002642,0.421623,0.4434435
100,0.861001,0.6018942,0.4234326,0.4447999
100,0.861002,0.6009412,0.4222098,0.4437784
100,0.861003,0.6016036,0.4228055,0.4444817
100,0.861004,0.6007913,0.4222988,0.4438597
100,0.861005,0.6033819,0.4244778,0.4463458
100,0.861006,0.6023319,0.4229678,0.4456419
100,0.861007,0.6059869,0.4259601,0.4492975
100,0.861008,0.6059041,0.4267171,0.4491075
100,0.861009,0.6076789,0.4277178,0.4502292
100,0.86101,0.6067687,0.4274848,0.4494227
100,0.861011,0.6112907,0.4308583,0.4534185
100,0.861012,0.609373,0.4299935,0.4510918
100,0.861013,0.6085543,0.4287983,0.4510941
100,0.861014,0.6098958,0.429991,0.4521466
100,0.861015,0.6117705,0.4320233,0.454522
100,0.861016,0.6115512,0.4315003,0.4539794
100,0.861017,0.6112484,0.4311059,0.4541172
100,0.861018,0.6106765,0.4310229,0.4532732
100,0.861019,0.6116242,0.431486,0.4536274
100,0.86102,0.6104876,0.4313543,0.453
100,0.861021,0.6136391,0.4330977,0.4561473
100,0.861022,0.6126502,0.4324941,0.4557291
100,0.861023,0.6126356,0.4332154,0.4546859
100,0.861024,0.6129164,0.4327806,0.4551934
100,0.861025,0.6155579,0.4354505,0.4575045
100,0.861026,0.615777,0.4352359,0.4577121
100,0.861027,0.6150645,0.4354148,0.4568587
100,0.861028,0.6131542,0.432863,0.4562599
100,0.861029,0.6145943,0.4342373,0.4571165
100,0.86103,0.6148943,0.434945,0.4574129
100,0.861031,0.6171211,0.4364791,0.4590523
100,0.861032,0.6151909,0.4355998,0.4567122
100,0.861033,0.6147585,0.4341391,0.4574076
100,0.861034,0.6167773,0.4366849,0.4585673
100,0.861035,0.616595,0.4363248,0.4588165
100,0.861036,0.6169995,0.4369541,0.4592411
100,0.861037,0.6187353,0.4381527,0.4603301
100,0.861038,0.6176878,0.4365562,0.4602848
100,0.861039,0.6178784,0.4376367,0.4593246
100,0.86104,0.6174267,0.4371105,0.4592249
100,0.861041,0.6190004,0.4383459,0.4605486
100,0.861042,0.6193756,0.4385119,0.461413
100,0.861043,0.6177694,0.4376704,0.4600785
100,0.861044,0.619553,0.4390845,0.4616245
