L,lambda,R_any_mean,R_x_mean
100,0.855,0.0822834,0.0463817
150,0.855,0.0249487,0.0133443
200,0.855,0.0070795,0.0036958
250,0.855,0.0019974,0.0010502
300,0.855,0.0005436,0.0002802
350,0.855,0.0001538,7.65e-05
400,0.855,4.03e-05,2.2e-05
450,0.855,9.5e-06,4.4e-06
100,0.861,0.6014866,0.4226053
150,0.861,0.5672433,0.3947808
200,0.861,0.5368473,0.3667216
250,0.861,0.5110326,0.3438154
300,0.861,0.4872434,0.3258582
350,0.861,0.4628315,0.3087079
400,0.861,0.4412639,0.2922206
450,0.861,0.4196436,0.2764841
100,0.861341,0.7124024,0.5268739
150,0.861341,0.7151343,0.5327231
200,0.861341,0.7164969,0.5320707
250,0.861341,0.7184149,0.5335649
300,0.861341,0.7188393,0.5374404
350,0.861341,0.7196732,0.5426655
400,0.861341,0.7175158,0.544288
450,0.861341,0.7143333,0.5443952
100,0.862,0.7952503,0.6153668
150,0.862,0.821103,0.6494849
200,0.862,0.8375932,0.6698147
250,0.862,0.8496819,0.6867139
300,0.862,0.8603628,0.7072318
350,0.862,0.8669611,0.7237086
400,0.862,0.8706332,0.7364014
450,0.862,0.8714296,0.7448459
100,0.865,0.9434378,0.8208712
150,0.865,0.9689747,0.8813997
200,0.865,0.978754,0.9152563
250,0.865,0.9821348,0.9331047
300,0.865,0.9834813,0.9456359
350,0.865,0.9843909,0.9553961
400,0.865,0.9851031,0.962978
450,0.865,0.9857508,0.9682101
